Step,TimeStamp,AvgEnergy,NoBoids,NoFoodSources,TotalFoodAvailable,Polarization,Expanse
343,20580.56,413.4168,25,1,450.0047,0.4911602,0.7463319
344,20640.56,413.5026,25,1,450.0047,0.4568031,0.8733526
345,20700.56,413.5883,25,1,450.0047,0.4568262,0.7663376
346,20760.56,413.6741,25,1,450.0047,0.3679752,0.7794117
347,20820.56,413.7599,25,1,450.0047,0.4626488,0.7825315
348,20880.56,413.8456,25,1,450.0047,0.482493,0.7323415
349,20940.56,413.9314,25,1,450.0047,0.4817577,0.763241
350,21000.56,414.0172,25,1,450.0047,0.4712012,1.132759
351,21060.56,414.1029,25,1,450.0047,0.4723819,0.9043064
352,21120.56,414.1887,25,1,450.0047,0.4747817,0.8473145
353,21180.56,414.2745,25,1,450.0047,0.4580162,0.9831711
354,21240.56,414.3602,25,1,450.0047,0.4775471,0.7421297
355,21300.56,414.446,25,1,450.0047,0.4704246,0.6129693
356,21360.56,414.5318,25,1,450.0047,0.4494447,0.9813737
357,21420.56,414.6175,25,1,450.0047,0.4628454,0.7371706
358,21480.56,414.7033,25,1,450.0047,0.447102,0.8238478
359,21540.56,414.7891,25,1,450.0047,0.4386341,1.141713
360,21600.56,414.8748,25,1,450.0047,0.4995154,0.7142519
361,21660.56,414.9606,25,1,450.0047,0.4587679,0.7424226
362,21720.56,415.0463,25,1,450.0047,0.4849467,0.5567707
363,21780.56,415.1321,25,1,450.0047,0.4650762,0.656883
364,21840.56,415.2179,25,1,450.0047,0.4767637,1.216508
365,21900.56,415.3036,25,1,450.0047,0.4707343,0.7512825
366,21960.56,415.3894,25,1,450.0047,0.477135,1.271827
367,22020.56,415.4752,25,1,450.0047,0.4918636,0.8455545
368,22080.56,415.5609,25,1,450.0047,0.4851748,0.7176249
369,22140.56,415.6467,25,1,450.0047,0.4167447,0.9312053
370,22200.56,415.7325,25,1,450.0047,0.410275,1.088188
371,22260.56,415.8182,25,1,450.0047,0.4712767,0.8429657
372,22320.56,415.904,25,1,450.0047,0.4816062,0.9069712
373,22380.56,415.9897,25,1,450.0047,0.4522144,1.101771
374,22440.56,416.0755,25,1,450.0047,0.4727456,0.6504647
375,22500.56,416.1613,25,1,450.0047,0.4871805,0.8289501
376,22560.56,416.247,25,1,450.0047,0.4697493,0.8439177
377,22620.56,416.3328,25,1,450.0047,0.4713852,0.4271602
378,22680.56,416.4185,25,1,450.0047,0.4319908,0.8140011
379,22740.56,416.5043,25,1,450.0047,0.4832531,0.5299946
380,22800.56,416.5901,25,1,450.0047,0.46402,0.5850501
381,22860.56,416.6758,25,1,450.0047,0.4837481,0.7362121
382,22920.56,416.7616,25,1,450.0047,0.4777743,0.6479393
383,22980.56,416.8474,25,1,450.0047,0.473562,0.7235819
384,23040.56,416.9331,25,1,450.0047,0.4807249,0.7085078
385,23100.56,417.0189,25,1,450.0047,0.4879054,1.000826
386,23160.56,417.1047,25,1,450.0047,0.4530197,1.060635
387,23220.56,417.1904,25,1,450.0047,0.4840242,0.533408
388,23280.56,417.2762,25,1,450.0047,0.496719,0.7913898
389,23340.56,417.362,25,1,450.0047,0.4604989,0.9250519
390,23400.56,417.4477,25,1,450.0047,0.4874696,0.9591163
391,23460.56,417.5335,25,1,450.0047,0.4770259,0.8873205
392,23520.56,417.6193,25,1,450.0047,0.435754,0.6037505
393,23580.56,417.705,25,1,450.0047,0.4562463,0.6917243
394,23640.56,417.7908,25,1,450.0047,0.4941171,1.202937
395,23700.56,417.8766,25,1,450.0047,0.4228323,0.9253666
396,23760.56,417.9623,25,1,450.0047,0.471739,0.6584448
397,23820.56,418.0481,25,1,450.0047,0.4900671,0.4774385
398,23880.56,418.1339,25,1,450.0047,0.3840707,0.8576471
399,23940.56,418.2196,25,1,450.0047,0.4659837,1.077382
400,24000.56,418.3054,25,1,450.0047,0.4815865,0.8064531
401,24060.56,418.3911,25,1,450.0047,0.4311732,0.9831656
402,24120.56,418.4769,25,1,450.0047,0.4588104,0.9280427
403,24180.56,418.5627,25,1,450.0047,0.469497,0.8336579
404,24240.56,418.6484,25,1,450.0047,0.4432915,0.6988324
405,24300.56,418.7342,25,1,450.0047,0.4755117,0.7950162
406,24360.56,418.8199,25,1,450.0047,0.4809425,1.003005
407,24420.56,418.9057,25,1,450.0047,0.4642868,0.8731163
408,24480.56,418.9915,25,1,450.0047,0.4262701,0.6769074
409,24540.56,419.0772,25,1,450.0047,0.4522561,0.3992492
410,24600.56,419.163,25,1,450.0047,0.4843156,0.6572558
411,24660.56,419.2488,25,1,450.0047,0.4734874,0.593747
412,24720.56,419.3345,25,1,450.0047,0.4651188,0.7708024
413,24780.56,419.4203,25,1,450.0047,0.4864558,0.4605093
414,24840.56,419.5061,25,1,450.0047,0.4495613,0.8693388
415,24900.56,419.5918,25,1,450.0047,0.485613,0.7443884
